Common Ostrich,ostric2
Emu,emu1
Magpie Goose,maggoo1
Plumed Whistling-Duck,plwduc1
Wandering Whistling-Duck,wawduc1
Graylag Goose,gragoo
Canada Goose,cangoo
Cape Barren Goose,cabgoo1
Freckled Duck,freduc1
Mute Swan,mutswa
Black Swan,blkswa
Radjah Shelduck,radshe1
Ruddy Shelduck,rudshe
Australian Shelduck,ausshe1
Paradise Shelduck,parshe1
Muscovy Duck,musduc
Green Pygmy-Goose,grnpyg1
Cotton Pygmy-Goose,copgoo1
Mandarin Duck,manduc
Maned Duck,manduc1
Garganey,gargan
Australasian Shoveler,aussho1
Northern Shoveler,norsho
Pacific Black Duck,pabduc1
Mallard,mallar3
Northern Pintail,norpin
Gray Teal,gretea1
Chestnut Teal,chetea1
Pink-eared Duck,pieduc1
Hardhead,wheduc1
Blue-billed Duck,blbduc1
Musk Duck,musduc1
Australian Brushturkey,ausbrt1
Malleefowl,mallee1
Helmeted Guineafowl,helgui
California Quail,calqua
Golden Pheasant,golphe
Ring-necked Pheasant,rinphe1
Indian Peafowl,compea
Red Junglefowl,redjun
Brown Quail,broqua1
Blue-breasted Quail,blbqua1
Stubble Quail,stuqua1
Australasian Grebe,ausgre1
Hoary-headed Grebe,hohgre1
Great Crested Grebe,grcgre1
Rock Pigeon,rocpig
White-headed Pigeon,whhpig1
African Collared-Dove,afcdov1
Spotted Dove,spodov
Brown Cuckoo-Dove,brcdov1
Namaqua Dove,namdov1
Pacific Emerald Dove,emedov3
Common Bronzewing,combro1
Brush Bronzewing,brubro1
Flock Bronzewing,flobro1
Crested Pigeon,crepig1
Wonga Pigeon,wonpig1
Diamond Dove,diadov1
Peaceful Dove,peadov1
Bar-shouldered Dove,basdov1
Wompoo Fruit-Dove,wofdov1
Superb Fruit-Dove,sufdov1
Rose-crowned Fruit-Dove,rcfdov1
Torresian Imperial-Pigeon,torimp1
Topknot Pigeon,toppig1
Australian Bustard,ausbus1
Pheasant Coucal,phecou2
Pacific Koel,asikoe3
Channel-billed Cuckoo,chbcuc2
Horsfield's Bronze-Cuckoo,hobcuc1
Black-eared Cuckoo,blecuc1
Shining Bronze-Cuckoo,shbcuc1
Little Bronze-Cuckoo,libcuc1
Pallid Cuckoo,palcuc1
Fan-tailed Cuckoo,fatcuc1
Brush Cuckoo,brucuc1
Oriental Cuckoo,oricuc2
Tawny Frogmouth,tawfro1
Marbled Frogmouth,marfro1
Spotted Nightjar,sponig1
White-throated Nightjar,whtnig3
Australian Owlet-nightjar,auonig1
White-throated Needletail,whtnee
Pacific Swift,fotswi
Lewin's Rail,lewrai1
Lord Howe Rail,lohrai1
Buff-banded Rail,bubrai1
Black-tailed Nativehen,btnhen1
Australian Crake,auscra1
Dusky Moorhen,dusmoo1
Eurasian Coot,eurcoo
Australasian Swamphen,purswa6
White-browed Crake,whbcra1
Pale-vented Bush-hen,rutbuh1
Baillon's Crake,baicra1
Spotless Crake,spocra2
Brolga,brolga1
Beach Thick-knee,beathk1
Bush Thick-knee,butkne1
Pied Stilt,piesti1
Banded Stilt,bansti1
Red-necked Avocet,renavo1
Pied Oystercatcher,pieoys1
South Island Oystercatcher,soioys1
Sooty Oystercatcher,soooys1
Black-bellied Plover,bkbplo
American Golden-Plover,amgplo
Pacific Golden-Plover,pagplo
Semipalmated Plover,semplo
Hooded Plover,hooplo2
Black-fronted Dotterel,blfdot1
Gray-headed Lapwing,gyhlap1
Banded Lapwing,banlap1
Masked Lapwing,maslap1
Red-kneed Dotterel,rekdot1
Inland Dotterel,inldot2
Oriental Plover,oriplo1
Siberian Sand-Plover,lessap2
Greater Sand-Plover,grsplo
Double-banded Plover,dobplo1
Red-capped Plover,recplo1
Kentish Plover,kenplo1
Plains-wanderer,plawan1
Australian Painted-Snipe,auspas1
Comb-crested Jacana,cocjac1
Whimbrel,whimbr
Little Curlew,litcur
Far Eastern Curlew,faecur
Bar-tailed Godwit,batgod
Black-tailed Godwit,bktgod
Hudsonian Godwit,hudgod
Asian Dowitcher,asidow1
Latham's Snipe,latsni1
Red-necked Phalarope,renpha
Terek Sandpiper,tersan
Common Sandpiper,comsan
Gray-tailed Tattler,gyttat1
Wandering Tattler,wantat1
Marsh Sandpiper,marsan
Wood Sandpiper,woosan
Common Redshank,comred1
Lesser Yellowlegs,lesyel
Common Greenshank,comgre
Ruddy Turnstone,rudtur
Great Knot,grekno
Red Knot,redkno
Ruff,ruff
Broad-billed Sandpiper,brbsan
Sharp-tailed Sandpiper,shtsan
Curlew Sandpiper,cursan
Long-toed Stint,lotsti
Red-necked Stint,rensti
Buff-breasted Sandpiper,bubsan
Sanderling,sander
Dunlin,dunlin
Little Stint,litsti
White-rumped Sandpiper,whrsan
Pectoral Sandpiper,pecsan
Red-backed Buttonquail,rebbut2
Little Buttonquail,litbut1
Red-chested Buttonquail,recbut1
Painted Buttonquail,paibut
Black-breasted Buttonquail,blbbut2
Australian Pratincole,auspra1
Oriental Pratincole,oripra
Long-tailed Jaeger,lotjae
Parasitic Jaeger,parjae
Pomarine Jaeger,pomjae
Brown Skua,brnsku3
South Polar Skua,sopsku1
Sabine's Gull,sabgul
Silver Gull,silgul2
Laughing Gull,laugul
Pacific Gull,pacgul1
Kelp Gull,kelgul
White Tern,whiter
Brown Noddy,brnnod
Black Noddy,blknod
Gray Noddy,grynod1
Aleutian Tern,aleter1
Sooty Tern,sooter1
Bridled Tern,briter1
Little Tern,litter1
Australian Fairy Tern,faiter2
Gull-billed Tern,gubter2
Australian Tern,gubter3
Caspian Tern,caster1
Whiskered Tern,whiter2
Black-fronted Tern,blfter1
Black Tern,blkter
White-winged Tern,whwter
Arctic Tern,arcter
Common Tern,comter
Black-naped Tern,blnter1
Roseate Tern,roster
White-fronted Tern,whfter1
Lesser Crested Tern,lecter2
Great Crested Tern,grcter1
White-tailed Tropicbird,whttro
Red-billed Tropicbird,rebtro
Red-tailed Tropicbird,rettro
Little Penguin,litpen1
Fiordland Penguin,fiopen1
Macaroni Penguin,macpen1
Northern Royal Albatross,royalb3
Southern Royal Albatross,royalb2
Snowy Albatross,wanalb1
Tristan Albatross,wanalb3
Antipodean Albatross,antalb1
Amsterdam Albatross,wanalb5
Sooty Albatross,sooalb1
Light-mantled Albatross,limalb1
Atlantic Yellow-nosed Albatross,yenalb2
Indian Yellow-nosed Albatross,yenalb3
Gray-headed Albatross,gyhalb
Buller's Albatross,bulalb2
White-capped Albatross,whcalb1
Salvin's Albatross,salalb1
Chatham Albatross,shyalb2
Black-browed Albatross,bkbalb
Wilson's Storm-Petrel,wispet
Gray-backed Storm-Petrel,gybstp1
White-faced Storm-Petrel,wfspet
White-bellied Storm-Petrel,wbspet1
New Zealand Storm-Petrel,nezstp1
New Caledonian Storm-Petrel,necstp1
Black-bellied Storm-Petrel,bbspet1
Band-rumped Storm-Petrel,barpet
Matsudaira's Storm-Petrel,maspet2
Tristram's Storm-Petrel,trspet
Southern Giant-Petrel,angpet1
Northern Giant-Petrel,norgip1
Southern Fulmar,souful1
Cape Petrel,cappet
Great-winged Petrel,grwpet3
Gray-faced Petrel,grwpet2
Kermadec Petrel,kerpet
Herald Petrel,herpet2
Providence Petrel,solpet1
Soft-plumaged Petrel,soppet1
Barau's Petrel,barpet1
White-headed Petrel,whhpet1
Mottled Petrel,motpet
Juan Fernandez Petrel,jufpet
White-necked Petrel,whnpet
Black-winged Petrel,bkwpet
Cook's Petrel,coopet
Gould's Petrel,goupet1
Collared Petrel,colpet1
Blue Petrel,blupet1
Fairy Prion,faipri1
Salvin's Prion,salpri2
Antarctic Prion,dovpri1
Slender-billed Prion,slbpri1
Fulmar Prion,fulpri1
Bulwer's Petrel,bulpet
Tahiti Petrel,tahpet1
White-chinned Petrel,whcpet1
Parkinson's Petrel,parpet1
Westland Petrel,wespet1
Streaked Shearwater,strshe
Flesh-footed Shearwater,flfshe
Great Shearwater,greshe
Wedge-tailed Shearwater,wetshe
Buller's Shearwater,bulshe
Sooty Shearwater,sooshe
Short-tailed Shearwater,shtshe
Hutton's Shearwater,hutshe1
Fluttering Shearwater,flushe1
Little Shearwater,litshe8
Tropical Shearwater,troshe5
Common Diving-Petrel,codpet1
Black-necked Stork,blnsto1
Lesser Frigatebird,lesfri
Great Frigatebird,grefri
Australasian Gannet,ausgan1
Red-footed Booby,refboo
Brown Booby,brnboo
Masked Booby,masboo
Australasian Darter,darter4
Little Pied Cormorant,lipcor1
Great Cormorant,grecor
Little Black Cormorant,libcor1
Pied Cormorant,piecor1
